Funcao,Localização,Skills Necessarias,Média Salarial,separação 1,separação 2,separação 3,separação 4,Cargo
"ASTERH
4.0
OPERADOR E PROGRAMADOR DE CENTRO DE USINAGEM
Bento Gonçalves",Bento Gonçalves,"Atividades
Operação do centro de usinagem;
Controle e abastecimento do óleo refrigerante;
Verificação das dimensões conforme desenhos;
Desenvolvimento de melhorias de processo, tais como parâmetros de corte, fixações e dispositivos;
Usinagem de peças de diferentes materiais, geometrias e utilizandoinstrumentos de medição (paquímetro, micrômetro e súbito).
Horário de trabalho
De segunda a sexta-feira, das 07h00 às 17h00.
Remuneração
Mostrar mais
Salário base
O salário mínimo é de R$ 4 mil e o salário máximo é de R$ 4 mil.
R$ 4 mil/mês (est. Empresa)
Bento Gonçalves
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa ASTERH
4,0
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,0
Remuneração e benefícios
4,0
Cultura e valores
4,0
Qualidade de vida
4,0",R$ 4 mil/mês (est. Empresa),ASTERH,4,OPERADOR E PROGRAMADOR DE CENTRO DE USINAGEM,Bento Gonçalves,OPERADOR E PROGRAMADOR DE CENTRO DE USINAGEM
"Frigelar Comercio e Indústria Ltda
3.6
Desenvolvedor Junior
Porto Alegre",Porto Alegre,"A Frigelar busca talentos para compor nosso time da área de digital na filial de Porto Alegre - RS.

Atividades:
Efetuar codificação em todas as etapas do ciclo de vida do desenvolvimento de sistemas, incluindo documentação, análise e testes.
Criação de código legível para outros desenvolvedores;
Habilidades de otimização de código para torná-lo mais eficiente;
Capacidade de quebrar as tarefas em tarefas menores;
Testar sistemas
Revisar o código
Mostrar mais
Visão geral da empresa
Tamanho
1.001 a 5.000 funcionários
Fundação
1966
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Frigelar Comercio e Indústria Ltda
3,6
66 %
Recomendam para outras pessoas
Oportunidades de carreira
2,8
Remuneração e benefícios
3,2
Cultura e valores
2,8
Alta liderança
2,9
Qualidade de vida
2,9
Benefícios da empresa Frigelar Comercio e Indústria Ltda
2,9
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Plano de Saúde(9 comentários)
""a vantagem é que quando não usa não tem desconto""
Vale-Refeição(9 comentários)
""Vale alimentação para quem não atrasa""
Vale-Transporte/Fretado(3 comentários)
""Vale transporte pago conforme legislação""
17 de jan. de 2024
Atual Funcionário em Porto Alegre, RS, Rio Grande do Sul
Pacote modulável, onde pode optar
20 de mar. de 2024
Ex-Auxiliar De Logística em Santa Maria, RS, Rio Grande do Sul
Salário , localização, benefícios, ambiente, trabalho
11 de fev. de 2024
Atual Auxiliar De Logística em Cuiabá, MT, Mato Grosso
São poucos benefícios, não tem sacolão nem cesta de natal",NF,Frigelar Comercio e Indústria Ltda,3.6,Desenvolvedor Junior,Porto Alegre,Desenvolvedor Junior
"OEmprego
4.5
PROGRAMADOR DE MÁQUINA INJETORA PLÁSTICA - PORTO ALEGRE
Porto Alegre",Porto Alegre,"Preparação e programação de máquinas injetoras, programação de robôs/manipuladores de peças, ajustes em dispositivos de produção (seladoras, embaladoras), operação e ajustes em periféricos (alimentadores de material, secadores de material, termoreguladores), limpeza e organização de máquinas, equipamentos e ambiente produtivo, atuação em registros da qualidade, adequação de processos, acompanhamento de qualidade de produtos, trocas de moldes e retiradas e recolocações para conserto. Manter as máquinas operando com as melhores condições de organização e limpeza, sendo responsável pela execução e/ou orientação para tanto.. Cargo: PROGRAMADOR DE MÁQUINA INJETORA PLÁSTICA - PORTO ALEGRE | Salario: A combinar. | Ensino: Ensino médio.

| Turno: Manhã e Tarde. | Area: Industrial, Produção, Fábrica. | Experiencia: . | Cidade: Porto Alegre / RS
Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa OEmprego
4,5
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,7
Remuneração e benefícios
4,7
Cultura e valores
5,0
Alta liderança
5,0
Qualidade de vida
4,7",NF,OEmprego,4.5,PROGRAMADOR DE MÁQUINA INJETORA PLÁSTICA - PORTO ALEGRE,Porto Alegre,PROGRAMADOR DE MÁQUINA INJETORA PLÁSTICA - PORTO ALEGRE
"PREMIUM RH Consultoria
5.0
Web Designer
Cachoeirinha",Cachoeirinha,"Empresa localizada em Cachoeirinha contrata Web Designer para integrar nossa equipe de profissionais dedicados e criativos.

Responsabilidades:
Desenvolver e atualizar sites, páginas e interfaces digitais para nossos clientes, levando em consideração as melhores práticas de design web;
Criar layouts atraentes e responsivos, garantindo uma experiência de usuário excepcional;
Colaborar com a equipe de desenvolvimento para implementar as diferentes soluções de design nas páginas web;
Criar e editar material gráfico para ser utilizado em sites e redes sociais.


Ensino Superior
Mostrar mais
Faixa de salário base
O salário mínimo é de R$ 4 mil e o salário máximo é de R$ 5 mil.
R$ 4 mil – R$ 5 mil/mês (est. Empresa)
R$ 5 mil
/mês (mediana)
Cachoeirinha
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa PREMIUM RH Consultoria
5,0
100 %
Recomendam para outras pessoas
Oportunidades de carreira
5,0
Remuneração e benefícios
5,0
Cultura e valores
5,0
Alta liderança
5,0
Qualidade de vida
5,0",R$ 4 mil – R$ 5 mil/mês (est. Empresa),PREMIUM RH Consultoria,5,Web Designer,Cachoeirinha,Web Designer
"BuscarVagas - Empregos e Consultoria Brasil
Analista De Projetos / Desenvolvedor ERP – Porto Alegre – RS
Porto Alegre",Porto Alegre,"Atribuições: Desenvolvimento de sistema interno de gestão de ordens de compra na China, controle de embarques, entre outros processos.
Requisitos
Requisitos: Sólidos conhecimentos em sistema ERP.
Jornada de trabalho
Jornada de Trabalho: De segunda a sexta, das 08:30 às 17:45. Carga Horária:
Jornada de trabalho
Jornada de Trabalho: De segunda a sexta, das 08:30 às 17:45.

Sem informação
Requisitos: Sólidos conhecimentos em sistema ERP.",NF,BuscarVagas - Empregos e Consultoria Brasil,Analista De Projetos / Desenvolvedor ERP – Porto Alegre – RS,Porto Alegre,,Analista De Projetos / Desenvolvedor ERP – Porto Alegre – RS
"Divulga Vagas - Consultoria
4.8
Programador / Desenhista Mecânico – Porto Alegre – RS - Vaga
Porto Alegre",Porto Alegre,"Atribuições: Programar em Lantek projetos para serem enviados para Puncionadeira. Desenhar projetos de acordo com a demanda da Produção. Acompanhar todos os projetos e programas desenvolvidos.
Requisitos
Requisitos:

Conhecimento em Lantek;
Conhecimento em SolidWorks;
Conhecimento em programas e ferramentas de Industria Metalúrgica, Puncionadeira e demais máquinas.
Escolaridade mínima
Não informado
Jornada de trabalho
Jornada de Trabalho: De segunda a quinta das 08:00 às 12:00 das 13:00 às 18:00 e sexta feira:08:00 às 12:00 das 13:00 às 17:00.
Benefícios: Refeitório no Local, Plano de Saúde Unimed, Prêmio por assiduidade.
Mostrar mais
Salário base
O salário mínimo é de R$ 2 mil e o salário máximo é de R$ 2 mil.
R$ 2 mil/mês (est. Empresa)
Porto Alegre
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Self-employed
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Divulga Vagas - Consultoria
4,8
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,8
Remuneração e benefícios
5,0
Cultura e valores
4,7
Alta liderança
4,6
Qualidade de vida
4,8",R$ 2 mil/mês (est. Empresa),Divulga Vagas - Consultoria,4.8,Programador / Desenhista Mecânico – Porto Alegre – RS - Vaga,Porto Alegre,Programador / Desenhista Mecânico – Porto Alegre – RS - Vaga
"Divulga Vagas - Consultoria
4.8
Desenvolvedor (a) .NET – Sênior Home Office – Porto Alegre – RS - Vaga
Porto Alegre",Porto Alegre,"Atribuições: Selecionamos com URGENCIA para empresa de Tecnologia situada na cidade de Porto Alegre/RS: Regime contratação CLT / 100% Home Office.

Atuação com desenvolvimento de novos projetos e manutenção de projetos existentes;
Identificação de causa raiz, bem como aplicação da solução;
Integração com outros sistemas através do desenvolvimento de APIs e sustentação em sistemas de grande porte;
Integração com API’s Rest e Soap.
Requisitos
Requisitos:

C# DotNet;
Padrão .NET MVC;
Entity framework 5;
Plataforma GitHub;
Visual Studio versão 2019;
Desejáveis: Ter atuado com e-commerce.
Não informado
Horário a combinar
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Self-employed
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Divulga Vagas - Consultoria
4,8
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,8
Remuneração e benefícios
5,0
Cultura e valores
4,7
Alta liderança
4,6
Qualidade de vida
4,8",NF,Divulga Vagas - Consultoria,4.8,Desenvolvedor (a) .NET – Sênior Home Office – Porto Alegre – RS - Vaga,Porto Alegre,Desenvolvedor (a) .NET – Sênior Home Office – Porto Alegre – RS - Vaga
"BuscarVagas - Empregos e Consultoria Brasil
Desenvolvedor (a) Delphi – Novo Hamburgo – RS
Novo Hamburgo",Novo Hamburgo,".
Requisitos
Requisitos: Experiência/vivência com desenvolvimento Delphi (pode ser C ou C++ também).
Jornada de trabalho
Horário a combinar Carga Horária:
Jornada de trabalho
Horário a combinar

Sem informação
Requisitos: Experiência/vivência com desenvolvimento Delphi (pode ser C ou C++ também).",NF,BuscarVagas - Empregos e Consultoria Brasil,Desenvolvedor (a) Delphi – Novo Hamburgo – RS,Novo Hamburgo,,Desenvolvedor (a) Delphi – Novo Hamburgo – RS
"OEmprego
4.5
DESENVOLVEDOR FORTN END - PORTO ALEGRE
Porto Alegre",Porto Alegre,"Descrição: - Experiência em react e trabalho em equipe; - Superior em Tecnologia; - Conhecimentos sólidos em JavaScript, React, Html e CSS, Gerenciador de estado Redux, Consumir APIs Rest/ JSQN, Versionamento de código com git;
Benefícios: Espaço de trabalho divertido com mesa de sinuca, fliperama, vídeo game, máquina de café e outros. Cargo: DESENVOLVEDOR FORTN END - PORTO ALEGRE | Salario: A combinar. | Ensino: Ensino superior - Bacharelado | Licenciatura | Tecnologia. | Turno: Manhã e Tarde. | Area: Informática. | Experiencia: 6 meses. | Cidade: Porto Alegre / RS
Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa OEmprego
4,5
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,7
Remuneração e benefícios
4,7
Cultura e valores
5,0
Alta liderança
5,0
Qualidade de vida
4,7",NF,OEmprego,4.5,DESENVOLVEDOR FORTN END - PORTO ALEGRE,Porto Alegre,DESENVOLVEDOR FORTN END - PORTO ALEGRE
"Divulga Vagas - Consultoria
4.8
Assistente De TI – Porto Alegre – RS - Vaga
Porto Alegre",Porto Alegre,"Atribuições: Irá realizar as atividades de facilitador entre os usuários e a empresa desenvolvedora do ERP, analisar organizações provedoras de serviços de TI, tendo como principal propósito o aprimoramento mensurável do desempenho da capacidade de gerar produtos e serviços, atuar em processos de suporte, de desempenho de aplicações de qualidade em engenharia de software e de testes de sistemas, gerar análise de documento contendo tudo o que o novo sistema fará, encaminhando o projeto para os programadores que irão construir o sistema, acompanhar e buscar melhorias para os sistemas em desenvolvimento, desenvolver pequenos sistemas, realizando alterações necessárias.
Requisitos
Requisitos: Graduação em andamento em Análise de sistemas ou áreas afins, ter vivência como facilitador entre os usuários e a empresa desenvolvedora do ERP, analisar organizações provedoras de serviços de TI, residir na Zona Norte de Porto Alegre. Atuar com Visual Basic.
Não informado
Jornada de Trabalho: Das 09:00 às 18:45 de Segunda a Sexta.
Salário de R$ 2.000,00.

Benefícios: VT, VR, Assistência Médica, Odontológica e auxílio educação.
Mostrar mais
Salário base
O salário mínimo é de R$ 2 mil e o salário máximo é de R$ 2 mil.
R$ 2 mil/mês (est. Empresa)
Porto Alegre
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Self-employed
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Divulga Vagas - Consultoria
4,8
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,8
Remuneração e benefícios
5,0
Cultura e valores
4,7
Alta liderança
4,6
Qualidade de vida
4,8",R$ 2 mil/mês (est. Empresa),Divulga Vagas - Consultoria,4.8,Assistente De TI – Porto Alegre – RS - Vaga,Porto Alegre,Assistente De TI – Porto Alegre – RS - Vaga
"Divulga Vagas - Consultoria
4.8
Programador De Punçonadeira / Projetista E Desenhista. Utilizando Os Softwares Solidworks E Lantek – Porto Alegre – RS - Vaga
Porto Alegre",Porto Alegre,"Atribuições: Para exercer o trabalho será utilizado o programa Solidworks e Lantek.
Escolaridade mínima
Não informado
Jornada de trabalho
Jornada de Trabalho: A combinar.
Siga Nosso Insta @divulgavagas.oficial
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Self-employed
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Divulga Vagas - Consultoria
4,8
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,8
Remuneração e benefícios
5,0
Cultura e valores
4,7
Alta liderança
4,6
Qualidade de vida
4,8",NF,Divulga Vagas - Consultoria,4.8,Programador De Punçonadeira / Projetista E Desenhista. Utilizando Os Softwares Solidworks E Lantek – Porto Alegre – RS - Vaga,Porto Alegre,Programador De Punçonadeira / Projetista E Desenhista. Utilizando Os Softwares Solidworks E Lantek – Porto Alegre – RS - Vaga
"Interage
3.9
Programador PHP
Porto Alegre",Porto Alegre,"A Interage está sempre aberta para os novos talentos. Se você tem interesse em trabalhar conosco, envie seu currículo para o e-mail rh@interage.com.br, especificando a área de atuação desejada.

Programador PHP
Requisitos:
Experiência mínima de 3 anos em programação para web.
Conhecimento avançado de programação usando PHP, HTML, JavaScript,
CSS, XML e Ajax.
Conhecimento avançado em design para web.
Conhecimento de gerenciamento de bancos de dados MySQL e PostgreSQL.




Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Interage
3,9
92 %
Recomendam para outras pessoas
Oportunidades de carreira
3,2
Remuneração e benefícios
3,2
Cultura e valores
3,5
Alta liderança
3,8
Qualidade de vida
3,7
Benefícios da empresa Interage
1,0
3 classificações
Avaliações de benefícios de funcionários
20 de jan. de 2020
Ex-Funcionário em São Paulo, SP, São Paulo
Tirando o 13o não existem benefícios. Não existe também a possibilidade de home office, nem vale transporte, vale refeição, nem nada. Digo isso pois enquanto estive lá tentei melhorias e nada foi feito.
20 de jan. de 2020
Ex-Funcionário em São Paulo, SP, São Paulo
Tirando o 13o não existem benefícios",NF,Interage,3.9,Programador PHP,Porto Alegre,Programador PHP
"OEmprego
4.5
ESTÁGIO - DESENVOLVEDOR BACKEND PHP - PORTO ALEGRE - CÓD 25437
Porto Alegre",Porto Alegre,"Cidade:
PORTO ALEGRE

Bairro:
PETRÓPOLIS

Horários:
13:00 até 19:00

Atividades:
AUXILIAR NA MANUTENÇÃO E DESENVOLVIMENTO DE WEBSITES E SISTEMAS WEB E DEMAIS ATIVIDADES DA ÁREA


CONHECIMENTO DA LINGUAGEM PHP,TECNOLOGIAS BÁSICAS DA WEB (JAVASCRIPT, AJAX, HTML),BANCO DE DADOS,GIT,CONHECIMENTOS AVANÇADOS EM BANCO DE DADOS, EM ESPECIAL POSTGRESQL,CONHECIMENTO EM SERVIDORES LINUX,ALGUMA VIVÊNCIA COM GATEWAYS DE PAGAMENTO.. Cargo: ESTÁGIO - DESENVOLVEDOR BACKEND PHP - PORTO ALEGRE - CÓD 25437 | Salario: R$ 800,00. | Ensino: . | Turno: Tarde e Noite. | Area: Informática. | Experiencia: . | Cidade: Porto Alegre / RS
Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa OEmprego
4,5
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,7
Remuneração e benefícios
4,7
Cultura e valores
5,0
Alta liderança
5,0
Qualidade de vida
4,7",NF,OEmprego,4.5,ESTÁGIO - DESENVOLVEDOR BACKEND PHP - PORTO ALEGRE - CÓD 25437,Porto Alegre,ESTÁGIO - DESENVOLVEDOR BACKEND PHP - PORTO ALEGRE - CÓD 25437
"Metta Capital Humano
2.4
Programador Delphi
Porto Alegre",Porto Alegre,"Desenvolver novas funcionalidades nos sistemas atuais da empresa; detectar e corrigir bugs nos sistemas atuais da empresa; desenvolver novos aplicativos desktop, ferramentas de apoio ou novos módulos de acordo com as demandas; criação de consultas em bancos de dados relacionais; documentar as tarefas desenvolvidas em sistema próprio da empresa.

Beneficios:
A Combinar;

Formação Acadêmica:
Ensino superior completo.


Experiência como programador.


5062.8


Programador


Metta Capital Humano
Serviços de recrutamento, seleção e cursos.


Recursos Humanos/ Recrutamento e seleção (EJ)


Efetivo (CLT)


Não informado


A combinar
Mostrar mais
Salário base
O salário mínimo é de R$ 5 mil e o salário máximo é de R$ 5 mil.
R$ 5 mil/mês (est. Empresa)
Porto Alegre
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Metta Capital Humano
2,4
43 %
Recomendam para outras pessoas
Oportunidades de carreira
2,4
Remuneração e benefícios
2,2
Cultura e valores
2,1
Alta liderança
2,1
Qualidade de vida
2,4",R$ 5 mil/mês (est. Empresa),Metta Capital Humano,2.4,Programador Delphi,Porto Alegre,Programador Delphi
"Divulga Vagas - Consultoria
4.8
Web Design (front End) – Canoas – RS - Vaga
Canoas",Canoas,"Atribuições: Responsável pela criação do site ou da e-commerce. Criar as telas que serão enviadas ao desenvolvedor. Entender como a informação percorrerá os diversos caminhos dentro do site
Requisitos
Experiência na rotinas citadas;
Conhecimentos em fireworks, photoshop e corew;
Conhecimentos técnicos em desenvolve uma plataforma digital;
Criatividade, redigir, trabalhar com imagens, pró atividade. Contrato PJ ou CLT.
Escolaridade mínima
Não informado
Jornada de trabalho
Horário (a combinar)
Mostrar mais
Salário base
O salário mínimo é de R$ 2 mil e o salário máximo é de R$ 2 mil.
R$ 2 mil/mês (est. Empresa)
Canoas
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Self-employed
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Divulga Vagas - Consultoria
4,8
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,8
Remuneração e benefícios
5,0
Cultura e valores
4,7
Alta liderança
4,6
Qualidade de vida
4,8",R$ 2 mil/mês (est. Empresa),Divulga Vagas - Consultoria,4.8,Web Design (front End) – Canoas – RS - Vaga,Canoas,Web Design (front End) – Canoas – RS - Vaga
"WANSOFT BRAZIL
UI/UX Designer
Porto Alegre",Porto Alegre,"UI / UX
Oi, prazer somos a WanSoft Brazil, um HUB de tecnologia, que se dedica a impulsionar o desenvolvimento de sistemas e pessoas há mais de 18 anos.
Estamos em busca de um talentoso e apaixonado UI/UX Designer para se juntar à nossa equipe. Se você é criativo, orientado para o usuário e está sempre em busca de aprimorar a experiência do usuário, junte-se a nós nessa jornada empolgante!
Responsabilidades e atribuições:
Criar wireframes, protótipos interativos e fluxos de usuário.
Conduzir pesquisas de usuário para compreender as necessidades e desejos dos usuários.
Criar e manter diretrizes de design e bibliotecas de componentes.
Experiência base:
Conhecimentos obrigatórios:
Conhecimentos desejáveis:
Oferecemos:
Mostrar mais
Visão geral da empresa
Tamanho
51 a 200 funcionários
Fundação
--
Tipo
Prestação de serviço
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa WANSOFT BRAZIL
2,1
18 %
Recomendam para outras pessoas
Oportunidades de carreira
3,0
Remuneração e benefícios
1,7
Cultura e valores
2,2
Alta liderança
2,3
Qualidade de vida
1,9",NF,WANSOFT BRAZIL,UI/UX Designer,Porto Alegre,,UI/UX Designer
"Desenvolverh
4.0
Operador e programador de centro usinagem
Caxias do Sul",Caxias do Sul,"Empresa do ramo industrial contrata Operador e programador de centro usinagem
Tipo de vaga: Efetivo CLT
Pagamento: R$1.800,56 - R$4.568,18 por mês
Horário de trabalho:
De segunda à sexta-feira
Mostrar mais
Faixa de salário base
O salário mínimo é de R$ 2 mil e o salário máximo é de R$ 5 mil.
R$ 2 mil – R$ 5 mil/mês (est. Empresa)
R$ 3 mil
/mês (mediana)
Caxias do Sul
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Desenvolverh
4,0
100 %
Recomendam para outras pessoas
Oportunidades de carreira
3,0
Cultura e valores
5,0
Alta liderança
5,0
Qualidade de vida
5,0",R$ 2 mil – R$ 5 mil/mês (est. Empresa),Desenvolverh,4,Operador e programador de centro usinagem,Caxias do Sul,Operador e programador de centro usinagem
"Emphasys IT Services
3.8
Programador Frontend - Angular
Porto Alegre",Porto Alegre,"Experiência técnica:
Experiência em desenvolvimento frontend com Angular.
Domínio de HTML5, CSS3, JavaScript e TypeScript.
Git.
Habilidade para escrever código limpo e seguir as melhores práticas de programação.
Formação acadêmica:
Superior completo ou cursando
Informações Adicionais
Mostrar mais
Visão geral da empresa
Tamanho
201 a 500 funcionários
Fundação
1998
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
De US$ 1 a US$ 5 milhões
Classificações da empresa Emphasys IT Services
3,8
82 %
Recomendam para outras pessoas
Oportunidades de carreira
2,9
Remuneração e benefícios
3,4
Cultura e valores
3,4
Alta liderança
3,8
Qualidade de vida
3,8
Benefícios da empresa Emphasys IT Services
3,3
3 classificações
Avaliações de benefícios de funcionários
15 de jul. de 2022
Atual Funcionário em São Paulo, SP, São Paulo
Plano de saúde muito bom. porém não há adesão de familiares, a não ser no dental. Falta um benefício que nos estimule a cultura.
22 de ago. de 2022
Ex-Funcionário em São Paulo, SP, São Paulo
Empresa se baseia nos beneficios conforme o cliente de atuação.
8 de abr. de 2021
Atual Analista de Projetos Sênior em São Paulo, SP, São Paulo
Plano de Saúde, Plano Odontológico, Seguro de vida, Vale Transporte, Vale Refeição e Vale Alimentação.",NF,Emphasys IT Services,3.8,Programador Frontend - Angular,Porto Alegre,Programador Frontend - Angular
"OEmprego
4.5
DESENVOLVEDOR
Cachoeirinha",Cachoeirinha,"Vaga para: Cachoeirinha
Nome da Vaga: DESENVOLVEDOR
Escolaridade: Terceiro Grau Incompleto

Remuneração:
Horário: Período Integral
Benefícios: VT + REFEITÓRIO NO LOCAL
Regime de Contratação: Temporário
Perfil da Vaga: Profissional
Requisitos: EXP. EM PROGRAMA VISUAL STUDIO 2010, LINGUAGENS HTML, JAVASCRIPT, VISUAL BASIC 6, VB.net E BANCO DE DADOS SQL SERVER.
VAI DESENVOLVER PROGRAMA NOVO.. Cargo: DESENVOLVEDOR | Salario: A combinar. | Ensino: Ensino superior - Bacharelado | Licenciatura | Tecnologia. | Turno: Integral. | Area: Informática. | Experiencia: 6 meses. | Cidade: Cachoeirinha / RS
Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa OEmprego
4,5
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,7
Remuneração e benefícios
4,7
Cultura e valores
5,0
Alta liderança
5,0
Qualidade de vida
4,7",NF,OEmprego,4.5,DESENVOLVEDOR,Cachoeirinha,DESENVOLVEDOR
"Netvagas
2.8
Desenvolvedor c#
Porto Alegre",Porto Alegre,"Descrição:
Ensino Superior Completo ou em andamento nas áreas de Tecnologia;

O que você precisa mandar bem:
C#;
SQL;
.Net Core, Entity Framework (Core) ou Dapper;

Você já deve saber o que um Dev faz né? Mas vamos reforçar!




240411020236752426
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Netvagas
2,8
33 %
Recomendam para outras pessoas
Oportunidades de carreira
2,2
Remuneração e benefícios
2,0
Cultura e valores
2,2
Alta liderança
2,2
Qualidade de vida
2,0",NF,Netvagas,2.8,Desenvolvedor c#,Porto Alegre,Desenvolvedor c#
